model,answer_type,scenario,answer,count,percentage,dataset
Qwen/Qwen3-0.6B,original,all,FAILED,1436,17.956733775165688,qwen
Qwen/Qwen3-0.6B,original,all,NO,2201,27.522821057896714,qwen
Qwen/Qwen3-0.6B,original,all,YES,2924,36.56371139177191,qwen
Qwen/Qwen3-0.6B,original,all,FAILED,1436,17.956733775165688,qwen
Qwen/Qwen3-0.6B,original,answer_first,FAILED,901,26.010392609699768,qwen
Qwen/Qwen3-0.6B,original,answer_first,NO,1058,30.54272517321016,qwen
Qwen/Qwen3-0.6B,original,answer_first,YES,1505,43.44688221709007,qwen
Qwen/Qwen3-0.6B,original,answer_last,NO,1143,36.90668388763319,qwen
Qwen/Qwen3-0.6B,original,answer_last,YES,1419,45.81853406522441,qwen
Qwen/Qwen3-0.6B,original,answer_last,FAILED,535,17.274782047142395,qwen
Qwen/Qwen3-0.6B,counterfactual,all,FAILED,1477,18.375217715849715,qwen
Qwen/Qwen3-0.6B,counterfactual,all,YES,2980,37.07389897984573,qwen
Qwen/Qwen3-0.6B,counterfactual,all,NO,2104,26.175665588454837,qwen
Qwen/Qwen3-0.6B,counterfactual,all,FAILED,1477,18.375217715849715,qwen
Qwen/Qwen3-0.6B,counterfactual,answer_first,FAILED,914,26.385681293302543,qwen
Qwen/Qwen3-0.6B,counterfactual,answer_first,YES,1537,44.37066974595843,qwen
Qwen/Qwen3-0.6B,counterfactual,answer_first,NO,1013,29.243648960739034,qwen
Qwen/Qwen3-0.6B,counterfactual,answer_last,NO,1091,35.227639651275425,qwen
Qwen/Qwen3-0.6B,counterfactual,answer_last,YES,1443,46.593477558927994,qwen
Qwen/Qwen3-0.6B,counterfactual,answer_last,FAILED,563,18.178882789796578,qwen
Qwen/Qwen3-4B,original,all,FAILED,1654,19.145734460006945,qwen
Qwen/Qwen3-4B,original,all,NO,2830,32.75842111355481,qwen
Qwen/Qwen3-4B,original,all,YES,2501,28.9501099664313,qwen
Qwen/Qwen3-4B,original,all,FAILED,1654,19.145734460006945,qwen
Qwen/Qwen3-4B,original,answer_first,FAILED,813,23.388952819332566,qwen
Qwen/Qwen3-4B,original,answer_first,NO,1418,40.79401611047181,qwen
Qwen/Qwen3-4B,original,answer_first,YES,1245,35.817031070195625,qwen
Qwen/Qwen3-4B,original,answer_last,NO,1412,40.2393844400114,qwen
Qwen/Qwen3-4B,original,answer_last,YES,1256,35.79367341122827,qwen
Qwen/Qwen3-4B,original,answer_last,FAILED,841,23.96694214876033,qwen
Qwen/Qwen3-4B,counterfactual,all,FAILED,1609,18.72236444030719,qwen
Qwen/Qwen3-4B,counterfactual,all,YES,2549,29.660228066092625,qwen
Qwen/Qwen3-4B,counterfactual,all,NO,2827,32.895043053292994,qwen
Qwen/Qwen3-4B,counterfactual,all,FAILED,1609,18.72236444030719,qwen
Qwen/Qwen3-4B,counterfactual,answer_first,FAILED,804,23.130034522439587,qwen
Qwen/Qwen3-4B,counterfactual,answer_first,YES,1269,36.50747986191024,qwen
Qwen/Qwen3-4B,counterfactual,answer_first,NO,1403,40.36248561565017,qwen
Qwen/Qwen3-4B,counterfactual,answer_last,NO,1424,40.58136221145626,qwen
Qwen/Qwen3-4B,counterfactual,answer_last,YES,1280,36.47762895411798,qwen
Qwen/Qwen3-4B,counterfactual,answer_last,FAILED,805,22.941008834425762,qwen
Qwen/Qwen3-8B,original,all,FAILED,1533,17.96554552912223,qwen
Qwen/Qwen3-8B,original,all,NO,3129,36.669401148482365,qwen
Qwen/Qwen3-8B,original,all,YES,2338,27.399507793273177,qwen
Qwen/Qwen3-8B,original,all,FAILED,1533,17.96554552912223,qwen
Qwen/Qwen3-8B,original,answer_first,FAILED,768,22.06896551724138,qwen
Qwen/Qwen3-8B,original,answer_first,NO,1606,46.14942528735632,qwen
Qwen/Qwen3-8B,original,answer_first,YES,1106,31.7816091954023,qwen
Qwen/Qwen3-8B,original,answer_last,NO,1523,43.26704545454545,qwen
Qwen/Qwen3-8B,original,answer_last,YES,1232,35.0,qwen
Qwen/Qwen3-8B,original,answer_last,FAILED,765,21.732954545454543,qwen
Qwen/Qwen3-8B,counterfactual,all,FAILED,1475,17.404129793510325,qwen
Qwen/Qwen3-8B,counterfactual,all,YES,2418,28.530973451327434,qwen
Qwen/Qwen3-8B,counterfactual,all,NO,3107,36.660766961651916,qwen
Qwen/Qwen3-8B,counterfactual,all,FAILED,1475,17.404129793510325,qwen
Qwen/Qwen3-8B,counterfactual,answer_first,FAILED,747,21.465517241379313,qwen
Qwen/Qwen3-8B,counterfactual,answer_first,YES,1168,33.5632183908046,qwen
Qwen/Qwen3-8B,counterfactual,answer_first,NO,1565,44.9712643678161,qwen
Qwen/Qwen3-8B,counterfactual,answer_last,NO,1542,43.80681818181818,qwen
Qwen/Qwen3-8B,counterfactual,answer_last,YES,1250,35.51136363636363,qwen
Qwen/Qwen3-8B,counterfactual,answer_last,FAILED,728,20.681818181818183,qwen
